row,col,mean_var,median_var,max_var,top5_var,high_var_count,very_high_var_count,residual_mean,residual_max,lap_mean,lap_max,grad_mean,grad_max,edge_strength,edge_orientation_conf,row_second_diff,col_second_diff,second_diff_min_max,profile_ringing_max,profile_ringing_mean,ringing_mean_max,ringing_mean_min,ringing_mean_min_max,row_ringing_max,row_ringing_mean,row_ringing_dyn_score,row_ringing_d2_score,row_ringing_sign_score,col_ringing_max,col_ringing_mean,col_ringing_dyn_score,col_ringing_d2_score,col_ringing_sign_score
90,41,0.16,0.0,1.56,1.34,0,0,0.08,1.22,0.33,4.0,0.45,5.0,0.19,0.42,0.19,0.08,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,39,345.08,22.91,1795.56,1684.32,17,0,6.34,34.11,21.31,127.0,41.78,164.0,14.0,0.58,5.96,14.21,0.42,0.64,0.29,0.45,0.13,0.28,0.36,0.13,0.11,0.03,0.33,0.64,0.45,0.71,0.17,0.38
80,40,151.76,4.2,1684.0,1399.7,7,0,3.7,35.67,14.0,136.0,21.19,162.0,5.5,0.26,2.67,7.29,0.37,0.67,0.11,0.16,0.05,0.33,0.43,0.05,0.11,0.02,0.0,0.67,0.16,0.2,0.07,0.25
80,41,346.61,14.84,1850.17,1672.92,17,0,5.72,30.67,19.59,117.0,39.47,179.0,13.12,0.54,5.15,12.94,0.4,0.52,0.27,0.42,0.11,0.27,0.51,0.11,0.14,0.02,0.21,0.52,0.42,0.68,0.14,0.33
81,39,669.15,432.21,1865.88,1712.23,30,0,11.27,31.11,37.87,141.0,64.62,155.0,21.89,0.41,28.6,17.62,0.62,0.74,0.45,0.51,0.39,0.75,0.74,0.51,0.64,0.43,0.38,0.64,0.39,0.46,0.23,0.5
81,40,896.9,1022.47,1908.69,1865.53,40,0,14.49,34.22,47.28,122.0,73.12,173.0,26.95,0.69,37.6,7.37,0.2,0.78,0.39,0.64,0.13,0.2,0.78,0.64,0.84,0.59,0.29,0.3,0.13,0.19,0.05,0.12
81,41,693.54,186.67,2128.17,1954.73,29,2,11.18,30.89,37.73,104.0,63.3,175.0,22.58,0.47,26.73,15.96,0.6,0.75,0.45,0.53,0.37,0.7,0.75,0.53,0.7,0.4,0.38,0.65,0.37,0.5,0.2,0.38
82,39,605.08,206.78,1738.54,1571.9,25,0,8.35,20.56,25.11,64.0,44.58,124.0,24.86,0.97,30.19,0.44,0.01,0.53,0.26,0.52,0.0,0.0,0.53,0.52,0.8,0.46,0.0,0.0,0.0,0.0,0.0,0.0
82,40,932.68,1130.42,1874.69,1842.58,40,0,14.89,26.44,44.73,81.0,63.64,112.0,26.53,0.97,38.25,0.94,0.02,0.66,0.32,0.65,0.0,0.0,0.66,0.65,0.82,0.6,0.33,0.0,0.0,0.0,0.0,0.0
82,41,646.13,117.43,1893.06,1880.09,24,0,10.08,27.56,30.48,85.0,43.83,124.0,24.95,0.97,31.35,1.25,0.04,0.54,0.27,0.54,0.0,0.0,0.54,0.54,0.83,0.48,0.0,0.0,0.0,0.0,0.0,0.0
80,34,1.09,0.22,7.11,6.13,0,0,0.3,1.0,1.2,6.0,1.7,12.0,0.31,0.3,0.73,0.25,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,35,203.85,13.16,1514.47,1358.85,10,0,5.34,33.78,19.3,105.0,31.11,159.0,7.89,0.14,11.92,9.9,0.83,0.62,0.22,0.24,0.2,0.83,0.62,0.2,0.11,0.13,0.5,0.52,0.24,0.31,0.1,0.33
80,36,119.36,5.98,1566.47,1231.05,5,0,3.55,28.67,13.39,114.0,21.17,173.0,5.0,0.0,4.29,7.94,0.54,0.6,0.11,0.16,0.06,0.35,0.39,0.06,0.1,0.01,0.04,0.6,0.16,0.14,0.07,0.38
81,34,211.23,12.89,1603.88,1498.43,10,0,5.34,36.78,18.97,126.0,29.72,143.0,7.56,0.03,9.75,13.5,0.72,0.77,0.2,0.22,0.17,0.78,0.71,0.22,0.25,0.1,0.38,0.77,0.17,0.16,0.17,0.21
