参数:{'learning_rate': 0.1, 'n_estimators': 130, 'num_leaves': 31, 'max_depth': 8, 'reg_alpha': 0.1, 'reg_lambda': 1.0, 'random_state': 618}, 训练集:0.0538, 测试集:0.0996, 下限值:0.0996, 差异:0.0458
参数:{'learning_rate': 0.1, 'n_estimators': 100, 'num_leaves': 15, 'max_depth': 10, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'random_state': 618}, 训练集:0.0886, 测试集:0.1136, 下限值:0.1136, 差异:0.0250
参数:{'learning_rate': 0.1, 'n_estimators': 100, 'num_leaves': 15, 'max_depth': 10, 'reg_alpha': 0.0, 'reg_lambda': 1.0, 'random_state': 618}, 训练集:0.0877, 测试集:0.1146, 下限值:0.1146, 差异:0.0269
参数:{'learning_rate': 0.1, 'n_estimators': 100, 'num_leaves': 15, 'max_depth': 10, 'reg_alpha': 0.1, 'reg_lambda': 0.0, 'random_state': 618}, 训练集:0.0879, 测试集:0.1134, 下限值:0.1134, 差异:0.0255
参数:{'learning_rate': 0.1, 'n_estimators': 100, 'num_leaves': 15, 'max_depth': 10, 'reg_alpha': 0.1, 'reg_lambda': 1.0, 'random_state': 618}, 训练集:0.0885, 测试集:0.1134, 下限值:0.1134, 差异:0.0249
参数:{'learning_rate': 0.1, 'n_estimators': 100, 'num_leaves': 31, 'max_depth': 10, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'random_state': 618}, 训练集:0.0604, 测试集:0.1009, 下限值:0.1009, 差异:0.0404
参数:{'learning_rate': 0.1, 'n_estimators': 100, 'num_leaves': 31, 'max_depth': 10, 'reg_alpha': 0.0, 'reg_lambda': 1.0, 'random_state': 618}, 训练集:0.0635, 测试集:0.1018, 下限值:0.1018, 差异:0.0383
参数:{'learning_rate': 0.1, 'n_estimators': 100, 'num_leaves': 31, 'max_depth': 10, 'reg_alpha': 0.1, 'reg_lambda': 0.0, 'random_state': 618}, 训练集:0.0607, 测试集:0.1033, 下限值:0.1033, 差异:0.0426
参数:{'learning_rate': 0.1, 'n_estimators': 100, 'num_leaves': 31, 'max_depth': 10, 'reg_alpha': 0.1, 'reg_lambda': 1.0, 'random_state': 618}, 训练集:0.0625, 测试集:0.1006, 下限值:0.1006, 差异:0.0381
参数:{'learning_rate': 0.1, 'n_estimators': 130, 'num_leaves': 15, 'max_depth': 10, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'random_state': 618}, 训练集:0.0805, 测试集:0.1102, 下限值:0.1102, 差异:0.0297
参数:{'learning_rate': 0.1, 'n_estimators': 130, 'num_leaves': 15, 'max_depth': 10, 'reg_alpha': 0.0, 'reg_lambda': 1.0, 'random_state': 618}, 训练集:0.0801, 测试集:0.1114, 下限值:0.1114, 差异:0.0313
参数:{'learning_rate': 0.1, 'n_estimators': 130, 'num_leaves': 15, 'max_depth': 10, 'reg_alpha': 0.1, 'reg_lambda': 0.0, 'random_state': 618}, 训练集:0.0815, 测试集:0.1117, 下限值:0.1117, 差异:0.0302
参数:{'learning_rate': 0.1, 'n_estimators': 130, 'num_leaves': 15, 'max_depth': 10, 'reg_alpha': 0.1, 'reg_lambda': 1.0, 'random_state': 618}, 训练集:0.0802, 测试集:0.1094, 下限值:0.1094, 差异:0.0292
参数:{'learning_rate': 0.1, 'n_estimators': 130, 'num_leaves': 31, 'max_depth': 10, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'random_state': 618}, 训练集:0.0509, 测试集:0.0982, 下限值:0.0982, 差异:0.0473
参数:{'learning_rate': 0.1, 'n_estimators': 130, 'num_leaves': 31, 'max_depth': 10, 'reg_alpha': 0.0, 'reg_lambda': 1.0, 'random_state': 618}, 训练集:0.0539, 测试集:0.0974, 下限值:0.0974, 差异:0.0435
参数:{'learning_rate': 0.1, 'n_estimators': 130, 'num_leaves': 31, 'max_depth': 10, 'reg_alpha': 0.1, 'reg_lambda': 0.0, 'random_state': 618}, 训练集:0.0516, 测试集:0.0994, 下限值:0.0994, 差异:0.0478
参数:{'learning_rate': 0.1, 'n_estimators': 130, 'num_leaves': 31, 'max_depth': 10, 'reg_alpha': 0.1, 'reg_lambda': 1.0, 'random_state': 618}, 训练集:0.0525, 测试集:0.0991, 下限值:0.0991, 差异:0.0467
